A=3251 B=7818 C=8817 X=588799155 Y=4369062587 Z=81981453089 M=1973
A=8705 B=3744 C=8056 X=645657206 Y=7623316788 Z=63316679440 M=3242
A=7751 B=3420 C=7535 X=827675348 Y=4031109183 Z=70741007598 M=1703
A=7546 B=9772 C=9172 X=826415729 Y=5648031436 Z=92747872305 M=8291
A=7464 B=3649 C=7773 X=808149598 Y=1077288080 Z=63424085515 M=3240
A=5011 B=8502 C=9054 X=988897533 Y=1018313278 Z=84368047171 M=7570
A=8845 B=5906 C=7286 X=820326963 Y=1713130304 Z=83371391099 M=2350
A=7569 B=9685 C=9477 X=811516906 Y=2442549924 Z=40873530965 M=6530
A=5236 B=3015 C=6977 X=754239009 Y=3747560753 Z=22935147900 M=9825
A=6207 B=4852 C=9776 X=930953437 Y=8987778882 Z=61798805944 M=5083
A=6274 B=9687 C=5085 X=981123360 Y=1274267579 Z=98494820999 M=3136
A=5158 B=6743 C=7535 X=706193628 Y=8678996052 Z=71930907799 M=3629
A=2218 B=4504 C=5064 X=864999352 Y=2824113744 Z=70972488461 M=7885
A=5321 B=3871 C=9949 X=485709263 Y=2253926890 Z=45485781086 M=3430
A=5741 B=6469 C=6714 X=455231376 Y=8005928968 Z=56182875282 M=8656
A=2609 B=9960 C=5654 X=658044898 Y=5853218251 Z=70526128148 M=8319
A=3217 B=5550 C=7273 X=831075482 Y=4064420550 Z=88116395241 M=6445
A=6359 B=7653 C=6026 X=463959078 Y=2731367325 Z=75727647289 M=2889
A=7809 B=6604 C=9428 X=367549762 Y=8891487507 Z=58988706726 M=4754
A=8922 B=6877 C=9072 X=718066244 Y=9370046824 Z=50884534310 M=6677
A=5868 B=7199 C=6610 X=460764984 Y=5273943828 Z=23311359278 M=3012
A=6957 B=7533 C=9029 X=369736339 Y=1891892724 Z=31645619837 M=7429
A=5709 B=3856 C=6015 X=746834367 Y=8341480077 Z=77632425972 M=8030
A=8990 B=8645 C=8941 X=371315380 Y=1446348226 Z=35516152682 M=7682
A=5179 B=5892 C=6221 X=454213059 Y=4809573821 Z=41565729908 M=5165
A=8382 B=5201 C=6659 X=372655563 Y=1925412808 Z=96624784259 M=2943
A=5677 B=9501 C=9854 X=655171238 Y=7608025021 Z=34257529015 M=7673
A=6597 B=9142 C=6239 X=750396175 Y=6250150377 Z=17367920494 M=8652
A=4723 B=5837 C=5625 X=145331966 Y=6881895820 Z=68912109594 M=2822
A=9341 B=7760 C=7869 X=186030480 Y=3654534943 Z=26231437061 M=1666
A=2140 B=4727 C=5158 X=337205610 Y=1318657533 Z=78839503500 M=9547
A=4420 B=8771 C=5373 X=806726607 Y=7218430320 Z=69971355305 M=2799
A=2462 B=3854 C=7211 X=902004156 Y=7140329981 Z=98385523776 M=6910
A=5870 B=9563 C=8634 X=131040938 Y=3800806411 Z=83592700978 M=3522
A=2260 B=7644 C=7895 X=889094442 Y=4748220906 Z=67600989358 M=9841
A=6814 B=9639 C=8479 X=550234789 Y=9460093456 Z=96803000887 M=8544
A=5615 B=9473 C=5215 X=990762621 Y=5859271846 Z=33807432429 M=2571
A=7777 B=9183 C=8360 X=237098053 Y=4608931939 Z=82945289142 M=8666
A=7152 B=8070 C=7237 X=968103019 Y=4705821064 Z=91760895870 M=8667
A=8472 B=3563 C=8148 X=665305834 Y=5536818618 Z=26311495573 M=6739
A=6337 B=9816 C=5683 X=567528318 Y=9089890188 Z=30218717924 M=5308
A=7503 B=9384 C=8916 X=341897291 Y=6941705737 Z=42698233771 M=7327
A=8155 B=3028 C=5121 X=791837700 Y=4624932128 Z=49087168897 M=8986
A=2081 B=3433 C=5015 X=871936190 Y=4943051869 Z=45289279739 M=5602
A=6978 B=6843 C=9162 X=714308890 Y=3332440044 Z=20111766318 M=4157
A=2095 B=5047 C=6161 X=797974721 Y=2624282690 Z=83712545316 M=4073
A=4474 B=5967 C=7807 X=268599831 Y=7201660462 Z=23205715029 M=2973
A=8931 B=5033 C=7068 X=505833104 Y=4941625373 Z=20801246005 M=5891
A=6527 B=7224 C=8146 X=300061668 Y=8717462327 Z=96979835044 M=1163
A=5075 B=5572 C=7435 X=166255139 Y=2072888310 Z=57236008495 M=3357
A=6990 B=3645 C=5642 X=154225619 Y=9912273008 Z=40165084621 M=9357
A=7842 B=6634 C=8093 X=585678020 Y=7231130848 Z=93210014773 M=5398
A=4668 B=7074 C=8749 X=385924466 Y=4747815914 Z=42679399816 M=9257
A=9712 B=7450 C=6366 X=736675240 Y=6878358999 Z=88780664862 M=1770
A=3603 B=4389 C=5908 X=998792990 Y=1384345472 Z=23163227699 M=3637
A=2559 B=8983 C=7584 X=976407127 Y=4368199807 Z=32487578727 M=3471
A=4712 B=6496 C=6716 X=326013882 Y=9059371058 Z=45413594226 M=5344
A=7861 B=8162 C=5925 X=635263714 Y=6891838878 Z=63798871845 M=7734
A=5748 B=9047 C=6290 X=601004621 Y=7793000931 Z=27844296420 M=5026
A=3484 B=6360 C=6014 X=888182705 Y=6984139585 Z=90535513474 M=8802
A=6138 B=4973 C=8818 X=262655387 Y=4541499236 Z=36061350385 M=2947
A=7547 B=3168 C=6670 X=129178124 Y=5478938747 Z=96658544075 M=8340
A=6690 B=3486 C=9637 X=463172210 Y=5916006999 Z=24547967051 M=6107
A=4134 B=7578 C=5014 X=770062926 Y=5770160354 Z=16962129754 M=8431
A=2725 B=5952 C=8616 X=791708862 Y=4598822914 Z=52535984078 M=7193
A=2495 B=5802 C=6430 X=120435499 Y=6198313108 Z=47298280233 M=9544
A=6907 B=6903 C=6278 X=593466374 Y=7346702223 Z=57689040855 M=1539
A=4992 B=8249 C=9398 X=790537352 Y=7756522310 Z=42441622042 M=5134
A=4135 B=6370 C=6946 X=393260767 Y=1327321519 Z=71732559816 M=8326
A=6624 B=6569 C=9376 X=635314210 Y=6294072207 Z=28836469036 M=8122
A=5369 B=5168 C=5364 X=901543678 Y=1698858835 Z=65844169917 M=3042
A=8066 B=6017 C=5441 X=628514812 Y=4983192978 Z=70290634721 M=4301
A=9067 B=8568 C=7563 X=698206907 Y=8656966849 Z=45638574758 M=4158
A=6416 B=6916 C=6207 X=501852221 Y=3227689550 Z=56348497383 M=2644
A=4284 B=4852 C=7289 X=686520556 Y=6222298029 Z=66285535521 M=9272
A=7475 B=5953 C=7848 X=190025809 Y=8958266610 Z=89119087324 M=4042
A=5247 B=7247 C=5983 X=462935584 Y=2519731113 Z=35845072992 M=2728
A=3996 B=6635 C=7091 X=687079546 Y=1253832474 Z=51287608152 M=1679
A=5336 B=6387 C=7741 X=785802380 Y=9936331326 Z=10338742009 M=5032
A=5679 B=8959 C=6267 X=280196874 Y=9085912509 Z=22911524718 M=7537
A=5175 B=3234 C=8336 X=153535100 Y=1151927854 Z=29338955709 M=8014
A=7889 B=5473 C=7368 X=756100509 Y=1913694121 Z=88743049341 M=8820
A=2180 B=8013 C=8850 X=551742943 Y=8408113317 Z=57775446278 M=4522
A=6755 B=5277 C=6838 X=237606338 Y=9935082374 Z=68285707368 M=5852
A=2231 B=6758 C=6392 X=864806492 Y=3700974775 Z=95840301942 M=2276
A=9493 B=3015 C=6831 X=846237679 Y=8897451578 Z=31769068376 M=9622
A=9669 B=6712 C=7888 X=596000356 Y=1464017342 Z=13192056686 M=7721
A=5681 B=4359 C=8027 X=640049848 Y=6945855780 Z=68259771053 M=6420
A=4283 B=5251 C=5580 X=361804138 Y=5708706558 Z=58087965971 M=7461
A=4129 B=5115 C=6728 X=232038828 Y=1847674798 Z=12813515116 M=9246
A=9107 B=9067 C=9546 X=824863139 Y=4485661829 Z=87751251449 M=3726
A=8301 B=7858 C=5345 X=524398936 Y=4000624047 Z=69988358090 M=2616
A=7301 B=8449 C=8486 X=841892193 Y=7037616892 Z=74275424301 M=3311
A=4691 B=5069 C=8476 X=577916665 Y=1204724613 Z=26335512432 M=3798
A=4815 B=8955 C=5505 X=607725262 Y=9200771542 Z=18148846979 M=8297
A=3212 B=7511 C=5769 X=639922640 Y=8631169791 Z=47415872709 M=6426
A=7543 B=6208 C=7912 X=428568976 Y=9107049362 Z=50429590568 M=6575
A=7006 B=6872 C=7237 X=423589202 Y=9120398414 Z=41897458121 M=2545
A=6457 B=6054 C=7304 X=916491265 Y=5122865666 Z=64281572326 M=1666
A=7879 B=6912 C=6892 X=146852574 Y=3744180494 Z=88834601153 M=6123
A=3074 B=4005 C=5721 X=297718794 Y=5350147475 Z=30199478585 M=3355
A=4808 B=5388 C=5462 X=708004507 Y=3278790680 Z=98473990107 M=5431
A=7886 B=3784 C=8801 X=159906315 Y=1627719787 Z=43965864114 M=2738
A=3558 B=9279 C=6214 X=793310287 Y=1777323171 Z=70274053486 M=3467
A=3516 B=6825 C=5687 X=237005546 Y=5450619713 Z=84513228088 M=8237
